manufacturer,line,material,commercial_name,sku,color_name,hex,rgb,finish,diameter_mm,weight_g,nozzle_min,nozzle_ideal,nozzle_max,bed_temp,flow_ratio,max_volumetric_speed,dry_temp,dry_hours,recommended_use,notes,status
Voolt3D,PLA Velvet,PLA,PLA Velvet High Speed Premium,VLT-PLV-WHT-1K,White,#F4F4F2,"244,244,242",Velvet,1.75,1000,218,225,230,60,1.04,12,50,8,Decorative models,Excellent surface finish,Active
Voolt3D,PLA Velvet,PLA,PLA Velvet High Speed Premium,VLT-PLV-BLK-1K,Black,#1A1A1A,"26,26,26",Velvet,1.75,1000,218,225,230,60,1.04,12,50,8,Decorative models,,Active
Voolt3D,PLA Velvet,PLA,PLA Velvet High Speed Premium,VLT-PLV-SKN-1K,Bege Caucasiano,#D8B596,"216,181,150",Velvet,1.75,1000,218,225,230,60,1.04,12,50,8,Decorative models,Found on official website,Active

Voolt3D,PLA Macaron Velvet,PLA,PLA Macaron Velvet High Speed Premium,VLT-MCV-BLU-1K,Azul Macaron,#89CFF0,"137,207,240",Velvet,1.75,1000,218,225,230,60,1.04,12,50,8,Decorative models,Macaron Series,Active

Voolt3D,PLA Premium,PLA,PLA High Speed Premium,VLT-PLA-WHT-1K,White,#F5F5F5,"245,245,245",Gloss,1.75,1000,210,220,230,60,1.00,15,50,8,General purpose,High Speed Premium,Active
Voolt3D,PLA Premium,PLA,PLA High Speed Premium,VLT-PLA-BLK-1K,Black,#111111,"17,17,17",Gloss,1.75,1000,210,220,230,60,1.00,15,50,8,General purpose,High Speed Premium,Active
Voolt3D,PLA Premium,PLA,PLA High Speed Premium,VLT-PLA-RED-1K,Red,#C62828,"198,40,40",Gloss,1.75,1000,210,220,230,60,1.00,15,50,8,General purpose,Found on official website,Active
Voolt3D,PLA Premium,PLA,PLA High Speed Premium,VLT-PLA-PUR-1K,Purple,#6A1B9A,"106,27,154",Gloss,1.75,1000,210,220,230,60,1.00,15,50,8,General purpose,Found on official website,Active
Voolt3D,PLA Premium,PLA,PLA High Speed Premium,VLT-PLA-DNT-1K,Branco Dental,#F8F8F4,"248,248,244",Gloss,1.75,1000,210,220,230,60,1.00,15,50,8,Dental prototypes,Official color,Active

Voolt3D,PLA Matte,PLA Matte,PLA Matte,VLT-MAT-GRY-1K,Gray,#7D7D7D,"125,125,125",Matte,1.75,1000,205,215,225,55,1.00,14,50,8,Display models,,Active

Voolt3D,V-Silk,PLA Silk,PLA V-Silk High Speed Premium,VLT-SLK-GLD-1K,Gold,#D4AF37,"212,175,55",Silk,1.75,1000,215,225,235,60,1.02,12,50,8,Decorative,High Speed Premium,Active
Voolt3D,V-Silk,PLA Silk,PLA V-Silk High Speed Premium,VLT-SLK-RED-1K,Red,#C62828,"198,40,40",Silk,1.75,1000,215,225,235,60,1.02,12,50,8,Decorative,,Active
Voolt3D,V-Silk,PLA Silk,PLA V-Silk High Speed Premium,VLT-SLK-GRN-1K,Green,#2E7D32,"46,125,50",Silk,1.75,1000,215,225,235,60,1.02,12,50,8,Decorative,,Active

Voolt3D,Duo Color Shadow,PLA Silk,PLA Duo Color Shadow V-Silk,VLT-DCS-GRN-BLK-1K,Green/Black,#2E7D32,"46,125,50",Dual Silk,1.75,1000,215,225,235,60,1.02,12,50,8,Decorative,Official Duo Color,Active
Voolt3D,Duo Color Shadow,PLA Silk,PLA Duo Color Shadow V-Silk,VLT-DCS-GRN-AMT-1K,Green/Ametista,#2E7D32,"46,125,50",Dual Silk,1.75,1000,215,225,235,60,1.02,12,50,8,Decorative,Official Duo Color,Active
Voolt3D,Duo Color Shadow,PLA Silk,PLA Duo Color Shadow V-Silk,VLT-DCS-BLU-BLK-1K,Blue/Black,#1565C0,"21,101,192",Dual Silk,1.75,1000,215,225,235,60,1.02,12,50,8,Decorative,,Active
Voolt3D,Duo Color Shadow,PLA Silk,PLA Duo Color Shadow V-Silk,VLT-DCS-GLD-AMT-1K,Gold/Ametista,#D4AF37,"212,175,55",Dual Silk,1.75,1000,215,225,235,60,1.02,12,50,8,Decorative,,Active
Voolt3D,Duo Color Shadow,PLA Silk,PLA Duo Color Shadow V-Silk,VLT-DCS-ORG-BLK-1K,Orange/Black,#F57C00,"245,124,0",Dual Silk,1.75,1000,215,225,235,60,1.02,12,50,8,Decorative,,Active
Voolt3D,Duo Color Shadow,PLA Silk,PLA Duo Color Shadow V-Silk,VLT-DCS-RED-BLK-1K,Red/Black,#C62828,"198,40,40",Dual Silk,1.75,1000,215,225,235,60,1.02,12,50,8,Decorative,,Active
Voolt3D,Duo Color Shadow,PLA Silk,PLA Duo Color Shadow V-Silk,VLT-DCS-GLD-BLK-1K,Gold/Black,#D4AF37,"212,175,55",Dual Silk,1.75,1000,215,225,235,60,1.02,12,50,8,Decorative,,Active

Voolt3D,Tri Color,PLA Silk,PLA Tri Color V-Silk,VLT-TRI-GSY-1K,Gold/Silver/Copper,#D4AF37,"212,175,55",Tri Silk,1.75,1000,215,225,235,60,1.02,12,50,8,Decorative,Tri Color Series,Active

Voolt3D,Stone PLA,PLA,Stone PLA,VLT-STN-GRY-1K,Stone Gray,#8A8A84,"138,138,132",Stone,1.75,1000,210,220,230,60,1.00,14,50,8,Architectural models,Stone Texture,Active

Voolt3D,Wood PLA,PLA,Wood PLA,VLT-WOD-OAK-1K,Oak,#A67C52,"166,124,82",Wood,1.75,1000,205,215,225,55,1.00,10,50,8,Wood appearance,Contains wood fibers,Active

Voolt3D,PETG HF,PETG,PETG High Fluidity Premium,VLT-PET-BLK-1K,Black,#111111,"17,17,17",Semi-Gloss,1.75,1000,235,245,255,80,0.98,12,65,8,Mechanical parts,HF Series,Active
Voolt3D,PETG HF,PETG,PETG High Fluidity Premium,VLT-PET-WHT-1K,White,#F5F5F5,"245,245,245",Semi-Gloss,1.75,1000,235,245,255,80,0.98,12,65,8,Mechanical parts,HF Series,Active
Voolt3D,PETG HF,PETG,PETG High Fluidity Premium,VLT-PET-OLV-1K,Verde Oliva,#556B2F,"85,107,47",Semi-Gloss,1.75,1000,235,245,255,80,0.98,12,65,8,Mechanical parts,Official color,Active
Voolt3D,PETG HF,PETG,PETG High Fluidity Premium,VLT-PET-SKN-1K,Bege Caucasiano,#D8B596,"216,181,150",Semi-Gloss,1.75,1000,235,245,255,80,0.98,12,65,8,Mechanical parts,Official color,Active

Voolt3D,ABS Premium,ABS,ABS High Speed Premium,VLT-ABS-BLK-1K,Black,#111111,"17,17,17",Gloss,1.75,1000,240,250,260,100,1.00,10,80,6,Engineering,,Active

Voolt3D,ASA,ASA,ASA,VLT-ASA-GRY-1K,Gray,#808080,"128,128,128",Matte,1.75,1000,245,255,265,100,1.00,10,80,6,Outdoor,UV Resistant,Active

Voolt3D,TPU 95A,TPU,TPU 95A,VLT-TPU-BLK-1K,Black,#111111,"17,17,17",Semi-Gloss,1.75,1000,215,225,235,50,1.05,8,50,8,Flexible parts,,Active
